By village - cases over time,,,,,Y1,,,,Y2,,,,Y3,,,,Y4,,,,Y5,,,,Y6,,,,Y7,,,,Y8,,,,Y9,,,,Y10,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,,R0 base,R0 Y1-Y3,R0 Y4-Y10,VC applied? ,VC effectiveness Y1-Y3,VC effectiveness Y4-Y10,AS attendance Y1-Y3,AS attendance Y4-Y10
1,13,10,9,8,8,2,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.56,0.51,0.32,1,89%,93%,76%,96%
2,11,11,5,6,6,6,3,3,3,3,2,4,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.36,0.81,0.30,1,76%,91%,46%,66%
3,15,13,9,3,4,2,2,2,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.33,0.32,0.19,1,93%,96%,55%,83%
4,14,13,17,19,6,6,7,10,1,3,4,3,2,2,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.28,5.28,5.28,0,0%,0%,80%,98%
5,11,10,10,9,7,4,3,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.42,0.18,0.15,1,96%,97%,45%,50%
6,10,8,2,2,2,3,3,4,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,,4.51,0.62,0.08,1,86%,98%,82%,90%
7,8,8,8,4,4,4,4,1,2,3,3,0,0,1,1,1,2,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,5.17,0.99,0.85,1,81%,84%,58%,61%
8,10,9,11,13,11,14,12,12,12,12,15,14,11,11,11,14,13,13,13,13,12,12,10,11,7,7,9,12,9,9,9,10,5,5,3,3,4,3,3,2,2,,5.41,1.24,1.21,1,77%,78%,15%,19%
9,8,8,7,6,7,1,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.27,0.19,0.04,1,94%,99%,84%,98%
10,14,13,5,5,3,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,5.82,1.74,0.36,1,70%,94%,84%,87%
11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,,4.83,0.56,0.48,1,88%,90%,33%,83%
12,8,8,8,9,2,2,2,3,2,2,2,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.84,0.58,0.00,1,85%,100%,74%,96%
13,2,1,2,2,2,2,1,2,2,2,2,2,4,4,5,5,6,4,4,4,2,1,1,1,1,1,2,2,2,1,1,1,1,0,1,2,3,0,2,2,2,,4.68,1.42,1.22,1,70%,74%,18%,61%
14,7,7,2,2,4,7,4,7,6,8,5,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.55,5.55,5.55,0,0%,0%,51%,79%
15,13,12,8,4,6,7,7,3,4,6,6,5,5,5,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.11,1.55,0.65,1,70%,87%,66%,98%
16,15,12,13,15,3,5,6,6,2,2,4,5,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.29,4.29,4.29,0,0%,0%,78%,97%
17,7,2,3,4,4,1,2,2,2,1,1,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.97,3.97,3.97,0,0%,0%,59%,93%
18,11,11,2,3,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.68,0.46,0.25,1,88%,93%,67%,79%
19,12,12,11,7,9,11,13,8,8,7,7,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.21,1.39,0.45,1,67%,89%,30%,62%
20,13,13,16,17,6,4,5,5,2,2,3,5,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,2.65,1.32,1.24,1,50%,53%,85%,91%
21,16,5,5,6,8,1,1,2,5,2,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.82,2.82,2.82,0,0%,0%,71%,96%
22,12,11,4,4,4,5,2,2,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.63,0.47,0.11,1,82%,96%,57%,72%
23,10,9,9,6,4,5,5,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.15,0.78,0.61,1,75%,80%,39%,81%
24,8,8,8,6,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.18,0.23,0.09,1,93%,97%,59%,60%
25,9,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.76,3.76,3.76,0,0%,0%,17%,65%
26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.00,0.37,0.36,1,91%,91%,74%,87%
27,12,10,9,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.75,2.75,2.75,0,0%,0%,71%,78%
28,6,5,8,8,10,10,9,9,11,13,14,16,13,15,18,20,14,16,12,14,6,7,8,10,4,3,4,4,1,2,3,3,3,5,6,7,3,3,4,6,6,,3.83,3.83,3.83,0,0%,0%,24%,60%
29,12,8,8,11,12,5,5,8,10,5,4,6,9,5,7,6,9,4,4,4,3,3,3,4,5,3,3,5,6,2,2,4,3,1,1,1,0,0,0,0,0,,3.70,3.70,3.70,0,0%,0%,64%,65%
30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.60,0.44,0.13,1,88%,96%,71%,86%
31,14,12,13,2,3,3,4,1,2,1,1,1,1,0,0,0,1,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.98,0.75,0.57,1,85%,89%,63%,86%
32,12,12,11,11,10,11,10,12,7,7,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,,3.04,0.38,0.15,1,88%,95%,28%,53%
33,5,3,2,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.13,0.19,0.09,1,96%,98%,73%,89%
34,15,11,5,4,4,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.26,0.45,0.37,1,86%,89%,67%,80%
35,17,13,9,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.65,2.07,1.04,1,63%,82%,82%,91%
36,6,6,5,5,4,6,8,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.63,3.63,3.63,0,0%,0%,80%,83%
37,14,6,6,5,5,2,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.86,0.99,0.48,1,74%,88%,80%,89%
38,15,11,2,4,4,5,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.34,1.44,0.69,1,67%,84%,90%,99%
39,11,10,11,6,5,5,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.96,0.58,0.18,1,80%,94%,39%,88%
40,13,12,12,12,8,7,8,9,4,4,5,4,3,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.20,0.88,0.57,1,83%,89%,49%,88%
41,10,4,4,4,2,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.67,0.38,0.30,1,77%,82%,75%,89%
42,14,12,5,4,3,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.22,0.95,0.91,1,82%,83%,51%,55%
43,6,5,5,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.28,4.28,4.28,0,0%,0%,89%,95%
44,12,11,15,19,9,11,10,10,5,4,5,4,3,4,6,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,3.26,3.26,3.26,0,0%,0%,79%,80%
45,8,3,3,3,5,4,4,6,8,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.26,1.84,1.22,1,57%,71%,72%,80%
46,1,1,1,1,1,1,1,2,2,3,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.61,1.28,0.08,1,72%,98%,40%,59%
47,9,9,7,4,3,4,5,5,5,4,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.82,0.76,0.74,1,84%,85%,45%,94%
48,7,6,6,7,2,1,2,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4.99,2.87,2.22,1,42%,55%,67%,90%
49,11,4,3,3,3,3,2,3,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.83,0.55,0.08,1,86%,98%,27%,73%
50,13,12,6,8,9,10,4,5,5,4,2,2,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.83,0.82,0.82,1,79%,79%,58%,67%
51,13,10,10,4,3,4,3,1,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.11,0.88,0.55,1,72%,82%,58%,91%
52,11,11,10,9,6,6,5,2,0,0,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.94,0.64,0.46,1,84%,88%,57%,86%
53,15,10,7,7,5,3,3,3,3,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,2.34,0.52,0.01,1,78%,100%,45%,50%
54,14,14,10,11,11,12,6,6,7,7,3,1,2,3,2,3,6,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.08,4.08,4.08,0,0%,0%,64%,87%
55,11,9,10,4,5,5,5,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.63,0.87,0.17,1,81%,96%,67%,71%
56,10,9,8,6,2,2,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.11,1.03,0.40,1,67%,87%,89%,90%
57,8,7,10,12,9,7,8,8,7,3,2,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.94,0.60,0.53,1,80%,82%,23%,32%
58,10,9,7,6,6,5,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.62,0.08,0.05,1,98%,99%,54%,72%
59,8,7,6,4,5,5,6,4,4,3,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.13,0.33,0.19,1,90%,94%,33%,44%
60,14,13,14,10,4,4,3,3,3,3,4,4,2,2,2,2,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.87,0.19,0.17,1,93%,94%,59%,89%
61,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,5.44,0.45,0.08,1,92%,99%,65%,97%
62,8,8,3,3,6,6,6,7,6,8,7,9,10,13,8,9,10,13,6,5,4,6,2,3,4,4,1,2,2,2,1,2,2,2,1,2,3,4,3,4,3,,3.64,3.64,3.64,0,0%,0%,46%,56%
63,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.96,0.17,0.04,1,94%,98%,60%,65%
64,7,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.59,0.90,0.53,1,75%,85%,92%,97%
65,13,1,1,1,1,1,1,2,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.48,2.05,0.12,1,54%,97%,13%,78%
66,15,14,5,5,6,5,2,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,4.86,1.79,0.91,1,63%,81%,53%,87%
67,7,7,6,3,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.02,0.77,0.15,1,85%,97%,54%,72%
68,11,11,10,10,4,2,2,1,0,0,0,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,4.22,0.74,0.62,1,82%,85%,56%,66%
69,12,6,6,5,5,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.77,0.89,0.82,1,76%,78%,75%,88%
70,13,10,5,4,6,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.09,1.10,0.39,1,78%,92%,54%,60%
71,16,14,14,8,6,4,4,4,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.23,0.42,0.17,1,81%,92%,44%,54%
72,12,12,10,9,7,8,9,8,7,6,6,7,4,4,4,4,3,3,4,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.30,1.53,0.61,1,54%,82%,37%,52%
73,10,5,4,3,3,2,3,3,3,4,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2.98,0.62,0.00,1,79%,100%,59%,76%
74,8,6,4,3,3,3,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.32,0.72,0.09,1,83%,98%,67%,84%
75,9,9,9,8,12,16,19,14,20,23,27,25,33,34,38,28,34,39,45,32,46,60,72,47,54,61,59,35,39,46,56,41,54,65,78,48,58,63,72,47,64,,5.28,5.28,5.28,0,0%,0%,31%,40%
76,1,1,1,1,0,0,0,0,0,2,1,1,1,2,2,3,1,2,3,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,5.26,5.26,5.26,0,0%,0%,41%,90%
77,12,8,10,14,17,10,10,12,13,4,5,6,6,3,4,4,4,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.29,1.70,1.17,1,48%,65%,69%,80%
78,6,6,2,2,2,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,,2.63,2.63,2.63,0,0%,0%,89%,97%
79,12,8,8,4,2,3,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.22,1.12,0.97,1,65%,70%,41%,92%
80,2,2,5,6,5,7,6,7,7,8,10,12,4,5,5,5,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.56,4.56,4.56,0,0%,0%,65%,90%
81,14,3,3,3,4,3,3,5,6,5,6,7,7,2,2,2,2,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.95,3.95,3.95,0,0%,0%,49%,63%
82,12,11,6,6,6,6,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.54,0.21,0.01,1,94%,100%,72%,79%
83,5,4,4,1,1,1,1,0,0,0,0,0,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.53,0.64,0.39,1,82%,89%,53%,86%
84,15,11,9,9,6,5,5,5,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,4.50,0.24,0.03,1,95%,99%,54%,76%
85,17,11,9,11,12,9,12,15,16,14,15,19,22,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,,5.86,2.11,1.79,1,64%,69%,52%,91%
86,6,6,3,4,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.74,1.05,0.39,1,72%,89%,57%,81%
87,14,14,18,14,20,24,29,22,25,26,34,22,22,20,22,11,13,16,18,7,9,11,15,8,7,8,10,8,10,10,11,8,9,11,16,9,10,13,13,7,6,,5.16,5.16,5.16,0,0%,0%,34%,50%
88,15,14,16,22,14,13,17,17,12,14,17,20,7,8,9,12,2,1,1,1,0,0,0,0,0,1,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,,4.73,4.73,4.73,0,0%,0%,70%,84%
89,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.30,0.10,0.00,1,97%,100%,79%,98%
90,12,12,6,7,8,7,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.72,0.88,0.15,1,81%,97%,70%,99%
91,7,7,7,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.68,0.41,0.31,1,89%,92%,71%,82%
92,14,11,9,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.82,0.37,0.00,1,94%,100%,85%,89%
93,6,3,5,4,5,1,2,3,3,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.68,5.68,5.68,0,0%,0%,70%,75%
94,9,9,5,5,5,5,3,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.89,3.89,3.89,0,0%,0%,62%,90%
95,8,6,5,0,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,3.95,0.51,0.16,1,87%,96%,66%,88%
96,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,3,3,1,2,2,2,1,0,0,0,0,0,0,0,0,,3.75,0.59,0.19,1,84%,95%,63%,77%
97,8,3,3,4,4,2,2,2,3,1,1,2,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,2,2,3,,4.35,4.35,4.35,0,0%,0%,52%,65%
98,7,6,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,4.66,2.03,0.35,1,56%,92%,88%,96%
99,11,11,12,9,9,7,7,4,5,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.82,0.87,0.82,1,69%,71%,62%,67%
100,13,12,12,10,3,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,,3.16,0.82,0.78,1,74%,75%,82%,83%
